@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
56,'2018/02/09 21:48:25:246',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
57,'2018/02/09 21:48:25:296',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
58,'2018/02/09 21:48:25:346',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
59,'2018/02/09 21:48:25:397',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
60,'2018/02/09 21:48:25:446',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
61,'2018/02/09 21:48:25:496',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
62,'2018/02/09 21:48:25:546',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
63,'2018/02/09 21:48:25:596',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
64,'2018/02/09 21:48:40:248',2,292.574951,405.671875,35.300667,265.919556,403.84201,41.256371,231.798676,402.630676,42.686821,183.96814,407.928925,37.911682,154.298874,399.566132,35.477089,1
65,'2018/02/09 21:48:40:298',2,294.67453,405.476471,35.434944,265.959534,403.507507,41.315544,231.690598,402.163727,42.701965,184.621674,407.82196,37.930351,155.3405,399.507446,35.449501,1
66,'2018/02/09 21:48:40:349',2,296.148499,405.531952,35.45129,266.017853,403.581482,41.26783,231.585495,402.124451,42.662689,185.154373,408.113159,37.869877,156.12442,399.768036,35.355789,1
67,'2018/02/09 21:48:40:399',2,294.013153,406.488739,35.544708,267.307526,404.017426,41.182068,232.419159,402.902802,42.566235,186.37648,407.714722,38.403168,156.630417,401.092804,35.307823,1
68,'2018/02/09 21:48:40:448',2,294.654846,406.568115,35.770916,268.298523,403.651703,41.319157,233.322906,402.843109,42.578712,188.212128,407.597168,38.47263,157.905396,400.773621,35.452213,1
69,'2018/02/09 21:48:40:499',2,294.842834,406.448792,35.903461,267.778015,403.205872,41.403648,233.179031,402.475769,42.620304,188.664703,407.136932,38.571026,158.238037,400.291962,35.563751,1
70,'2018/02/09 21:48:40:548',2,294.028839,406.49826,35.810688,266.604492,403.355957,41.316319,232.186768,402.501526,42.582417,187.944458,407.260925,38.485031,157.3358,400.229248,35.518387,1
71,'2018/02/09 21:48:40:598',2,292.06015,406.94986,35.467777,266.396423,402.973877,41.279331,231.770279,402.064789,42.660839,187.023254,408.119141,38.238743,155.90152,400.941376,35.335476,1
